Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,"7750, 11202-00-20G",180,1015,900,1.056 N,80,cgminer 2.11.0,-I 11 -w 64 --shader 512,"67C, low profile"
AMD GPU,7770,143,800,1125,,,GUIMiner,-I 18 -w 256 --thread-concurrency 8000,"Windows 7, 76C, Catalyst 13.152, SDK 2.8, Dell mobo, Core i5-2500"
AMD GPU,"7770 GHz Edition, FX-777A-ZNF4",174,1150,1245,,80,GUIMIner-scrypt v0.04,-I 14 -g 1 -w 256 --thread-concurrency 8000,
AMD GPU,"7770, HD7770-2GD5",184,1020,1150,,,"GUIMiner-scrypt, cgminer 3.6.0",-I 17 -g 1 -w 256 --thread-concurrency 8000,"Windows 8 x64, Catalyst 13.11"
AMD GPU,"7770, 100358VXL",187,920,1400,,,cgmier 3.7.2,-I 18 -g 1 -w 256 --thread-concurrency 8000,"Windows 8.1, 61C"
AMD GPU,"7770, FX-777A-ZN",202,1000,1135,1.200 N,,cgmier 3.7.0,-I 15 --worksize 256 -g 1 --thread-concurrency 8000,"Windows 8.1, 62C, Catalyst 13.9"
AMD GPU,"7770, H777F1G2M",203,965,1425,1.200 Y,110,GUIMiner-scrypt,-I 18 -w 256 --thread-concurrency 8000,"77C, Catalyst 13.11"
AMD GPU,"7790, Sapphire",225,830,1500,,,cgminer 3.4.3,-I 17 -g 1 -w 128 --thread-concurrency 8000,"Windows 8, 60C"
AMD GPU,"7790, H779FT1GD",230,830,1500,Y,,cgminer 3.5.0,-I 20 -w 256 --thread-concurrency 8192,"Litecoin BAMT 1.1, 70C"
AMD GPU,"7790, HD7790-DC2OC-2GD5",235,918,1500,Y,,cgminer 3.1.0,-I 17 -g 1 -w 128 --thread-concurrency 8000,"Windows 7 x64, 64C, SDK 2.9, ASRock M3A770DE, 1055T @ 3.3GHz, 4GB RAM, HDD"
AMD GPU,"7790, MSI-R7790-1GD5/OC",252,830,1500,1.150 Y,75,cgminer 3.5.0,-I 17 -g 1 -w 128 --thread-concurrency 8000,"Windows 7, 58C, G41-Combo, E8400, 4GB RAM, MB58203.002 firmware"
AMD GPU,7790,260,882,1750,,84,"GUIMiner-scrypt, cgminer 3.5.0",-I 18 -g 1 -w 128 --thread-concurrency 8000,
AMD GPU,"7790, R7790-1GD5/OC",271,918,1820,,88,GUIMiner-scrypt v0.04,-I 18 -g 1 -w 256 --thread-concurrency 8000,73C
AMD GPU,"7850, Sapphire 2GB",340,1000,1300,1.138 U,,GUIMiner-scrypt v0.04,-I 12 -g 1 -w 256 --thread-concurrency 8192,"Windows 7, 67C"
AMD GPU,7850,350,1000,1350,,,cgminer 2.10.5,-I 13,
AMD GPU,7850,350,1000,1300,1.000 ?,,cgminer 2.11.3,-I 17,
AMD GPU,"7850, HD7850-DC2-2GD5",362,1050,4800,1.135 Y,115,GUIMiner-scrypt v0.04,-I 12 --thread-concurrency 8192,"Windows 8.1 x64, 75C, i5-3570K, 16GB RAM, x16 risers"
AMD GPU,"7850, HIS 2GB",382,1120,1250,,130,cgminer 2.11.4,-I 17 -w 256 --thread-concurrency 8192,"Windows 7 x64, Catalyst 13.1, Athlon64 X2 4000+ 2.1GHz, RAM 2GB"
AMD GPU,"7850, ASUS 2GB V2",385,1120,1300,,,cgminer 2.11.4,-I 19 --thread-concurrency 27164,"Windows 7 x64, Catalyst 13.1, A10-5800K 3.8GHz, RAM 8GB"
AMD GPU,7850. AX7850 2GBD5-DH,404,1250,1350,1.150 U,,GUIMiner-scrypt,-I 19 -g 1 -w 256 --thread-concurrency 12404,"Windows 7, 71C, i5-2500k"
AMD GPU,7850,411,1200,1365,,,cgminer 2.11.3,-I 19 -g 1 -w 256 --thread-concurrency 16000,
AMD GPU,"7870 GHz Edition, XFX",300,1000,1200,,,cgminer 3.6.0,-I 12 -g 2 -w 256,"Windows 7 x64, 87C"
AMD GPU,"7870, AX7870 2GBD5-2DHPPV3E",320,975,1500,,,cgminer,-I 18 --thread-concurrency 16384,80C
